Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2222143863;2680000000;-1760523747;-1372227707;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;6319000000;-2912000000;3407000000;-2060000000;-1619000000;-441000000;;1347000000;13000000;-79000000;1360000000;;1360000000;-150000000;1210000000;;1210000000;1210000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2023-12-20;304000000;307000000;6848000000;-3126000000;3722000000;-2104000000;-1637000000;-467000000;;1618000000;-114000000;-75000000;1504000000;;1504000000;-250000000;1254000000;;1254000000;1254000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;1853320448;2115376392;284367000;-284462000;-95000;-1858519000;-689379000;-1169140000;;-1858614000;-132835000;-4036000;-1991449000;-426425000;-2417874000;;-2417874000;;-2321145000;-3281607000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;9456609000;-7907270000;1549339000;-2218676000;-1118819000;-1099857000;;-669337000;208133000;-66916000;-461204000;272327000;-188877000;22847000;-166030000;14373000;-151657000;-791985000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;13403000000;-10081815912;3350000000;-1128550204;-248000000;-31000000;-733000000;2192682082;-186000000;-122000000;1593154131;-527000000;1625000000;-725838931;893000000;;226985850;226886714
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;10433000000;-8537000000;1896000000;-1162846504;-280000000;-27000000;-713000000;732901848;-283000000;-121000000;-438684082;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;9286000000;-7969000000;1317000000;-890152673;-206000000;-27000000;-653000000;431000000;-154000000;-146000000;173109195;-104000000;173000000;-187000000;-14000000;;-170000000;-170000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;12152000000;-9153000000;2999000000;-957758980;-227000000;-31000000;-664000000;2077000000;250000000;-195000000;1197239350;-1128000000;1199000000;-629000000;570000000;;429000000;429000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2024-02-21;186377853;189907737;12451000000;-10212000000;2239000000;-909807034;-204000000;-32000000;-617000000;1386000000;12000000;-106000000;700797461;-696000000;702000000;-664000000;38000000;;-123000000;-123000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;;;;-6461616;-6461616;;;-6461616;284779;;-6176837;22025909;15849072;;15849072;;15849072;15849072
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;;;;-7342712;-7342712;;;-7342712;13097713;;5755001;15228589;20983590;;20983590;;20983590;20983590
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;;;;-184105;-184105;;;-184105;1052;1052;-183053;;-183053;;-183053;-285846;-468899;-468899
AAC_delisted;939324;USD;2018;FY;2018-12-31;2019-04-15;2019-04-15;24090639;24090639;295763000;-207519000;88244000;-114073000;-13744000;;-21986000;-25829000;-465000;;-26294000;-43428000;-69722000;3004000;-66718000;;-59404000;-59404000
AAGH;12444287;USD;2019;FY;2019-06-30;2021-03-23;2021-07-13;20236021836;20236021836;;;;-46771;-46768;;;-46771;-4494;-4494;-51265;-12978;-64243;-800;-65043;;-65043;-65043
AAGH;12444287;USD;2020;FY;2020-06-30;2020-10-12;2022-01-21;20236021836;20236021836;5474;-3369;2105;-48256;-48181;;;-46151;-4965;-4965;-51116;;-51116;-800;-51916;;-51916;-51916
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;195671;-144318;51353;-294913;-294913;;;-243560;-20044;-20044;-263604;-5450;-269054;;-269054;;-269054;-269054
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;104648;-1588453;-1483805;-3250293;-3250293;;;-4734098;-190838;-190911;-4924936;;-4924936;;-4924936;;-4866153;-4866153
